Element,delete flag,Entity Name,Original Alternative Entity Name  (Including entity names are duplicates),col-C,col-D,Actor /Role /Service,Hierarchy Conceptual/ Logical/ Physical,Role (from role tab),Type,NIST (Legacy) Domain ,Manufacturer-CIM (IEC #) Type of Zone,Description,"Actor/ type
or
Role",Related Role,Business function/ service,AMI Systems,Electric Transportaion,Distribution Grid Mgmt,WASA,Demand Response,Electric Storage,Conceptual Model,Reference Diagram,NAESB,CSWG NISTIR 7628,CSWG Actors,IEEE P2030 Draft 3.0  ,EIS,EU Commission,EU WGSP Vers 0.5,SGAC Conceptual Arch,IEC TC57-WG19 DER Actor/Roles,EU SC-CG WP1 ,ENTSO-E role model,AhG Charging,IEC61968 IRM,IEC SG3,GUC,DKE Repository,SMCG,EG3,EU Source:unknown,New,Note,US/EU Input,There are several entities that more concisely describe this concept - this should show up as a column B item for traceability
174,,"Metering, Billing, Utility Back Office - needs to be broken-up",,,,Service,Conceptual,,Application,Distribution,,"The systems used for collecting metering information, validating it, settling bills across accounting entities, and issuing bills to customers.",,,, ,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
175,,Hydro Facility,,,,Actor,Logical,,Facility,Generation,Process,Superclass hydro ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,US,
176,,Micro Hydro,,,,Actor,Logical,,Facility,Customer,,"Customer owned river or stream driven power generation resource. Generation used for either Customer consumption or  resale. Often particpates in Demand/Response programmes, could be a scheduled resource.",,,,,,,,,,,,,,X,,,,,,,, , , , , , , , , , ,,US,
177,,Microgrid Distributed Generation Network,IE: Feeder Distributed Energy Resource/Microgrid Network,,,Actor,Logical,,Facility,Distribution,,"These networks are comprised of all energy sources (eg: solar, wind, diesel, storage) not part of Generation. In most cases these energy resources are klocatd in industrial parks, campuses (ie: microgrids)",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
178,,Modeler,,,,Role,Logical,,Organizational Entity,Operations,,Organizational entity responsible for Person in charge of modeling the power network.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
179,,MOL Responsible,,,,Role,Logical,,Role,Market,,Responsible for the management of the available tenders for all Acquiring System Operators to establish the order of the reserve capacity that can be activated.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
180,,Multi Unit Submeter ,,,,Actor,Physical,,Device,Customer,,"Meter used to measure electric usage at individual units which are part of an multi-unit apartment buildings, condominiums, commercial buildings, mobile home parks, and similar multi-unit complexes.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
181,,Neighborhood Area Network,NAN,NAN,NAN,Actor,Logical,,Facility,Distribution,,"NANs provide communications to connect distribution field devices (commonly Smart Meters), Migrogrid/Distributed Generation to a Distribution Grid Operations Core Network",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
182,,Network Operation Simulation ,,,,Service,Logical,,Application,Operations,,"This set of services functions allows facilities to define, prepare and optimise the sequence of operations required for carrying out maintenance work on the system (release/clearance orders) and operational planning.",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
183,,Network Operations,,,,Service,Conceptual,,Application,Operations,Operations,"The Network Operation domain is a sub-domain within Operation providing the monitoring, control, and maintanence of the utilities grid network. Key applications include monitoring and control remote field equipment (eg: Phase Measurement Units (PMU), capacitor banks, sectionalizers )",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
184,,Network Operations Analysis,,,,Service,Logical,,Application,Operations,,"Advanced analytics that compare records taken from real-time operation related with information on grid network incidents, connectivity and loading to optimize operations and schedule periodic maintenance. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
185,,Network Operations Analyst,CM: Network Operations Analysis,,,Role,Logical,,Organizational Entity,Operations,,"Operation Feedback role that Analysis actors compares records taken from real-time operation related with information on grid network incidents, connectivity and loading to optimize operations and schedule periodic maintenance. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
186,yes,Network Operations Calculations,,,,Service,Conceptual,,Application,Operations,,Real-time Network Calculations actors (not shown) provide system operators with the ability to assess the reliability and security of the power system. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
187,,Network Operations Control,"CM: 1) Distribution.Control, 2) Network Operations Control, 3) Transmission.Control; IE: Transmission Operation and Control",,,Service,Conceptual,,Application,Operations,,"Centralized Aautomated and manual control operations of the system  to manage the flow of power and Information Communications Technology (ICT), including cyber security to optimize reliabilty of the power delivery system and support infrastructure. Network control is coordinated by actors in this domain, they may only supervise wide area, substation, and local automatic or manual control. An example would be the use of phase angle regulators within a substation to control power flow between two adjacent power systems ",,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
188,,Network Operations Fault Analysis,,,,Service,Logical,,Application,Operations,,"Fault Management actors enhances the speed at which faults are located, identified, and sectionalized so service can be restored. They provide information for customers, coordinate with workforce dispatch and compile information for statistics. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
189,,Network Operations Monitor,,,,Service,Logical,,Application,Operations,,"Network Operation Monitoring rolesactors supervise network topology, connectivity and loading conditions, including breaker and switch states, and control equipment status. They locate customer telephone complaints and field crews. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
190,,Network Operations Reporting and Statistics,,,,Service,Logical,,Application,Operations,,Operational Statistics and Reporting roles actors archive on-line data and to perform feedback analysis about system efficiency and reliability. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
191,,Network segment capacity and reliablity,EU: Network Calculations & Network Operations Calculations,NE-NCLC,,Service,Conceptual,,Application,Cross Cutting,Operations,"Algorithms that provide information used to develop a long-term (generally one year and beyond) plan for the reliability (adequacy) of the interconnected electric transmission and distribution networks.
EU: Real-time Network Calculations actors (not shown) provide system operators with the ability to assess the reliability and security of the power system. ",,,,,,,,,,X,,,,, ,,,X,,,,,,,,,,,,,,,US,
192,,Nomination Validator,,,,Role,Logical,,Role,Market,,Has the responsibility of ensuring that all capacity nominated is within the allowed limits and confirming all valid nominations to all involved parties. That roleHe informs the Interconnection Trade Responsible of the maximum nominated capacity allowed. Depending on market rules for a given interconnection the corresponding System Operators may appoint one Nomination Validator. ,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
193,yes,Non-Utility Energy Provider,,,,Actor,Logical,,Application,Service Provider,,Non-Utility that sells energy.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
194,,Non-Utility Retail Energy Provider ,CM: Third Party Retail Energy Provider ,,,Service,Logical,,Application,Service Provider,Enterprise,A non-utility energy supplier that sells energy to end-users.  For example this could be a solar PV customer that sells back to the grid.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
195,yes,Normally Open Switch,CM: NO Switch,NO-Switch,NO-Switch,,,,Device,Distribution,,"Circuit reconfiguration is widely used to support roles such as balance loading, improve voltage regulation and reduce system losses. Reconfiguration is accomplished by closing normally-open switches and opening normally-closed switches.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
196,,Nuclear Generation Facility,IE: Nuclear Generation Facility,,,Actor,Logical,,Facility,Generation,,Power plant that produces electricity steam by using nuclear fuel. They provide the most inexpensive method of producing power and are commonly for base-load and ancillary services.Power generation  which uses Nuclear energy for fuel to heat turbine water.,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
197,,Operational Planning,CM: OPs Planning,OPs Planning,OPs Planning,Service,Logical,,Application,Operations,,"Operational Planning and Optimization actors perform simulation of grid network operations, schedule switching actions, dispatch repair crews, inform affected customers, and schedule the importing of power. They keep the cost of imported power low through peak generation, switching, load shedding or demand response. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
198,,Outage Management ,,OMS,OMS,Service,Conceptual,,Application,Operations,,"Service that locates and tracks outages, status and their resolution. ",,,,,,,,,,,, ,,,,,,,X,,,,,,,,,,,,,,US,
199,,Outage Management System,,OMS,OMS,Service,Logical,,Application,Operations,,"Application that locates and tracks outages, status and their resolution. OMS may be a stand-alone application or part of a DMS offering. Usual OMS functions include:
• Predicting fuse or breakerlocation that opened upon failure.
• Prioritizing restoration efforts and managing resources based upon criteria such as location of emergency facilities, size of outages, and duration of outages.
• Providing information on extent of outages and number of customers impacted to management, media and regulators.
• Estimation of restoration time.
• Management of crews assisting in restoration.
• Calculation of crews required for restoration.
Usually interfaces to CIS, WMS and GIS applications; May interface to AMI systems for increased outage granularity.",,,,X,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
200,,Participant,,,,Role,Logical,,Organizational Entity,Service Provider,,The entity that represents resources to a market or distribution operator.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
201,,Peaker,,,,Role,Logical,,Device,Transmission,,Plants that can be brought online quickly and efficiently in reponse to excess demand. Usually sited near a Substation or within a Generation facility. Typically these are gas turbine-sets spinning the generators.,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
202,,Phasor Measurement Unit ,,PMU,PMU,Actor,Physical,,Device,Transmission,,Measures the electrical waves on an electricity grid to determine the health of the system.,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
203,,Plant Control System,,,,Service,Logical,,Application,Generation,,"Control System for a generating plant. For Generation these applications include plant and asset maintanence, HEAT rate calculations, scheduling, price signalling. DER plants usually use fewer and depend on other providers/applications for their operational needs. This is also called a Distributed Control System (DCS). ",,,,,, ,X, ,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
204,,Point of Common Coupling,,,,Actor,Logical,,Facility,Distribution,Process,Point where a local electric power system is connected to an area electric power system,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,definition from IEEE 1547,US,
205,yes,Point of Interface,,,EU-WGSP: Party Connected to the Grid,na,na,,Device,Customer,,"Point at which connection from the outside the Customer premises occurs. Can be a meter, Emergy Management System, Generation controller, controllable load device. This is a redundant term, use the appropriate term as necessary",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
206,,Point of Sale,,CS-POS,,Service,Logical,,Application,Customer,,"A point of sale system is used for the management of prepayment meters, where a customer either purchases a token or makes a prepayment for service.",,,,,,,,,,,X,X,,, ,,,X,,,,,,,,,,,,,,,US,
207,,Power Exchange,,,,Role,Conceptual,,Organization,Market,,"Provides a market place for trading physical and financial (capacity/energy and derivates) contracts for capacity allocation by implicit auctions within the defined country, region or cross border.",,,,,,,X,,,,, ,,,,,,,,,,,,,,,,,,,,,US,
208,,Power Grid Equipment vendors,EU: Electric Power Grid Equipment vendors;,,,Role,Conceptual,,Organization,Operations,,Field equipment vendors.,,,,,,,,,,,, ,,,,,X,,,,,,,,,,,,,,,,US,
209,,Power System Control Center,NR: Plant Control System - Distributed Control System,,,Zone,Logical,,Facility,Operations,Operations,"Power system central operations. This is the physical entity from which Grid Operations provides their services. Today these include Regional/Independent Operators, utility-owned transmission Operations and Distribution Operations facilities.",,,,,,,X,,,,, ,,,,,,,,,,,,,,,,,,,,,US,
210,,Premise Installation and Maintenance,,,,Service,Logical,,Application,Service Provider,Enterprise,Business function or service that installs and maintains premise equipment.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
211,,Premise Management,,,,Service,Logical,,Application,Operations,,"Information regarding the location of a service. This set of functions includes: Address management; Right-of-ways, easements, grants; and Real estate management. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
212,,Premises,,,,Actor,Logical,,Facility,Cross Cutting,,"A house or building or groups of buildings, together with its land and other improvements, occupied by a legal entity or considered in an official context",,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,US,
213,,Production Responsible Party,,,,Role,Conceptual,,Organization,Market,,"A party who can be brought to rights, legally and financially, for any imbalance between energy sold and produced for all associated metering points. Tye of Market Participant.",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
214,,Public Internet/Intranet,,,,Zone,Logical,,Facility,Operations,Communications,"Public Internet is the pri,ary communications facility used between Grid Operations Core Network, Market, Third Party Providers, and Customer Portals.",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
215,,Pumped Storage Facility,"IE: 1) Pumped Hydraulic, 2) Compressed air",,,Actor,Logical,,Device,Generation,Process,"Stored compressed air, or water for power generation as a scheduled resource. Pumped storage is supplied by (but limited to) windmills, tide-driven pumps, electric pumps for closed loop systems.",,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
216,,Renewable Facility,,,,Actor,Logical,,Facility,Generation,Process,Renewable Generation Facility,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,US,
217,,Reactor,,,,Actor,Logical,,Device,Transmission,,(Shunt) Reactors compensate for the capacitive reactive power of the transmission cables. They are typically found in switch yards and substations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,
218,,Recloser,,,,Actor,Logical,,Device,Distribution,,"Reclosers (automatic) are control devices that open a circuit for monentary overload overcurrent and interrupt fault) conditions. Reclosers stay open after a preselect number of tries, isolating the faulted section of the circuit. Reclosers are typically pole-mounted.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
219,,Reconciliation Accountable Party,,,,Role,Conceptual,,Organization,Market,,A party that is financially accountable for the reconciled volume of energy products for a profiled Local metering point.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
220,,Records and Assets Management,,,,Service,Conceptual,,Application,Operations,,"The Records and Asset Management rolesactors track and report on the substation and network equipment inventory, provide geospatial data and geographic displays, maintain records on non-electrical assets, and perform asset investment planning. ",,,,,,,,,,X,,,,,,,, ,,,,,,,,,,,,,,,US,
221,,Regional Interconnects,,,,Zone,Logical,,Facility,Operations,Communications,"Regional interconnects are between Grid Operations Core Networks . They are used to signal cross regional awareness, such as cross-regional Wide Area Situational Awareness (WASA) voltage collapse. These facilities are either private proprietary or pubic carrier backbones.",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
222,,Regional Transmission Organization,RM: RTO/ISO; NR: Independent System Operator/Regional Transmission Organization Wholesale Market,RTO,RTO,Role,Conceptual,,Organization,Operations,Market,"An independent entity that monitors/controls a power grid over a wide geographic area (typically several States, may include ISOs). Responsible for wide-are generation and transmission coordination, high-level load management and other signals for distribution companies. Additionally responsible for managing the area's wholesale generation Market on the behalf of Market participants (Generation, Distributed Generation, Service Providers and Aggregators.",,,,X,,,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
223,,Regulatory Authority,N: Federal Regulator CM: Federal Agency,,,Role,Conceptual,Manager,Organization,Agency,,"Federal agency that requires information on interactions involving intersate transmission, and security",,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
224,,Relay,,,,Actor,Physical,,Device,Distribution,Process,"(Protective) relays are switches that trip circuit breaks when conditions as over-current, over-voltage, reverse power flow, over- and under- frequency and faults up to a certain distance away from a substation.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
225,,Reliability Authority,,,,Role,Conceptual,,Organization,Agency,Enterprise,"A regulatory authority responsible for the development, reporting and enforcement of electric reliability-related activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,
226,,Reserve Allocator,,,,Role,Conceptual,,Organization,Market,Market,"A party that is responsible for reconciling, within a Metering grid area, the volumes used in the imbalance settlement process for profiled metering points and the actual metered quantities. ",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
227,,Residential Customer,Eur: Home Customer,,,Actor,Logical,,Organization,Customer,,A residential consumer of electricity (Eur:includes also agriculture users) may also be involved in contract-based Demand/Response.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
228,,Resource Aggregation ,N: Resource,,,Service,Conceptual,Processor,Organization,Service Provider,,The act of collecting a set of resources into an Aggregation.,,,"function/
service",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,US,
229,,Resource Provider,,,,Role,Conceptual,,Role,Operations,Market,A role that manages a resource object and provides the schedules for it (Description from ETSO-E market document).,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
230,,Response Method Aggregator,N: Response Method Aggregation,,,Role,Logical,,Organization,Service Provider,Enterprise,"A logical entity that has a reportable interval level of consumption, e.g. a physical entity that may have its own meter, a neighborhood of homes that has a net meter, or an estimate of consumption of an aggregation of retail customers.",,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,US,
231,,Retail Customer,E: End Use Customer; CM: Utility Customer; NR: Utility Customer; EU:  Home Customer,,,Role,Conceptual,,Organization,Customer,,"An entity that consumes and/or pays for electrical goods or services. A customer of a utility, including customers who provide more power than they consume. This customer may be a residential consumer or also an entity (e.g. department, tenant) within a larger building.",role,consumer,,,,,,,,X,,,X,,,X,,,,,,,,,,,,,,,,,US,
232,,Retail Market,,,,Service,Logical,,Organization,Market,Market,"The Retail Market clears bids and offers, or otherwise sets retail prices.",,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,US,
233,,Retailing,,,,Service,Conceptual,,Application,Market,Enterprise,Retailers sell power to end customers and may in the future aggregate or broker  between customers or into the market. Most are connected to a trading organization to allow participation in the wholesale market. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
234,,Scheduling Coordinator,,,,Role,Conceptual,,Organizational Entity,Operations,,"A party that is responsible for the schedule information and its exchange on behalf of a balance responsible party. 
For example in the Polish market a Scheduling Coordinator is responsible for information interchange for scheduling and settlement. ",,,,,,,,,,,X,X,,, ,,,X,,,,,,,,,,,,,,,US,
235,,Scheduling Entity,,SE,SE,Role,Conceptual,,Organizational Entity,Service Provider,,A role which carries the responsibility of submitting bids/offers and receives Schedules and Awards.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
236,,Sectionalizer,,,,Actor,Logical,,Device,Distribution,Field Device,Are used to isolate circuits with persistant current poor ground faults by opening branch circuits bypassing the faulty circuit,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
237,,Security Management,NR: Security/Network/System Management,,,Service,Conceptual,,Application,Operations,Enterprise,"The A service that provides management of security policies, distribution and maintenance of security credentials, and centralized authentication and authorization as appropriate. ",,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,US,
238,,Service Provider,"EU: Supplier; EU: Retailer;RM: 3rd Party, 3rd Party, External Systems;IE: 3rd Party Services; 3rd Party",SP,SP,Role,Conceptual,,Organization,Service Provider,Enterprise,"An organization which coordinates resources to support the energy industrydeliver electricity, gas  and clean energy products and services to a market or distribution operator.",,,,,,,,,,X,,X,X,,,,X,,,,,,,,,,,,,,,,US,
239,,Service Provider Storage Management,RM:  Utility Energy Management Service; CM: Local Service Provider EMS,,,Service,Logical,,Application,Operations,Enterprise,"A service that provides supervisory energy storage management on behalf of the customers, such as batteries.",,,,,,,,,X,,, ,,,,,,,,,,,,,,,,,,,,,US,
240,,Sheddable Loads,,,,Role,Logical,,Device,Customer,Customer,Individual loads that may be shed or controlled to reduce power demand.,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,US,
241,,Smart Meter,,,,Actor,Logical,,Device,Customer,,"Smart Meter is a device used to measure watts, vars, var-hours, volt-amperes, or volt-ampere-hours. When part of an Smart Grid infrastructure its includes communcations capabiltities that allow it to particpate in monitoring and control - including Demand/Response and Load Management System programs. Can be composed of components for incremental action",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
242,,Solar,CM: Formerly under only solar,,,Role,Logical,,Device,Generation,Process,"Photovoltiac arrays generate power directly. Their ouput is typically used in three ways: 1) direct attached to the grid, 2) By charging batteries or 3) running pumps for a storage facility allowing the storaged energy to be used on scheduled intervals. Power produced by these facilities is sold on the wholesale market. These arays are found in substations, building roof tops(commercial, school, factory) and solar farms.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
243,,Stakeholder Planning and Reporting,,,,Service,Conceptual,,Application,Operations,Enterprise,"These roles actors perform track and manage the needs and concerns of various utility stakeholders by monitoring customer input, regulators, service standards, and legal proceedings. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
244,,Standardization Body,,,,Actor,Conceptual,,Organization,Operations,Enterprise,"Responsible for standardization of all relevant elements and components within the electricity supply chain, which leads to harmonizaing relevant services, support towards removing barriers to trade, creating new market opportunities and reducing manufacturing costs.",,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
245,,Storage,,,,Role,Conceptual,,Service,Cross Cutting,Process,"Storage of energy.  Storage may serve the transmission, service provider distribution, or customer domain.",,,,,,,,,X,,, ,,,,,,,,,,,,,,,,,,,,,US,Cross cutting because control varies with the deployment scenarios
246,,Submeter,NR: Sub-Meter – Energy Usage Metering Device (EUMD); E: Intelligent Sub-Metering Device,,,Actor,Physical,,Device,Customer,Field Equipment,"Additional meter used to measure special purpose electric usage and/or generation at customer sites. Typically used at customer sites with distributed generation devices, electric vehicles or multi-dwelling units. May also analyze energy cost/consumption.",,,,X,X,,,,,X,,,X,,,X,,,,,,,,,,,,,,,,,US,
247,,Supervisory Control and Data Acquisition,RM: 1) SCADA/DMS & 2) SCADA,D-SCADA,D-SCADA,Service,Logical,,Application,Operations,Operations,"Distribution SCADA transmits/receives status and controls individual remote devices(IED) and sensors. Manages energy consumption by controlling compliant devices, and allows operators to directly control power system equipment.  Required scope, speed, and accuracy of real-time measurements are provided, supervisory and closed-loop control is supported. Quite oftem provides it inforamtion to a Distributed Managment System (DSM) or Customer Information System (CIS) to outage scenarios.",system actor,grid operator,,X,X,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
248,,Supply Chain Logistics,,,,Service,Conceptual,,Application,Operations,Enterprise,"Supply Chain and Logistics services actors manage the processes for acquiring and stocking necessary supplies. This includes an inventories' location be it in a field warehouse on installed in the field. Included are items such as inventory asset type, age, performance characteristics, installation date, spatial location.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
249,yes,Supporting Objects ,,,,,,,Data,Customer,,Objects that support the interaction of Business Entities and Demand Response Objects.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
250,,Switch,CM: Normally Open Switch,NO-Switch,NO-Switch,Actor,Physical,,Device,Distribution,,"Circuit reconfiguration is widely used to support roles such as balance loading, improve voltage regulation and reduce system losses. Reconfiguration is accomplished by opening and closing switches, sectionalizers, and etc. This includes normally open and closed switches whose state depends on the domain/roles being instantiated",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
251,,Switch Action Scheduling  And Operation Work Scheduling,,OP-SSC,,Service,Logical,,Application,Operations,Operations,"Switch action scheduling provides supports for handling all aspects relevant to switch order formulation, drawing up operating guidelines, dispatching repair crews and informing customers affected. It assists in collecting the related data and delivering it in the various forms required.",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
252,,System Operator,NR: Energy Service Provider; Transmission/Distribution Service Provider; EU: Transmission System Operator; EU: Distribution System Operator,SO,SO,Role,Conceptual,,Organization,Operations,Operations,"An role entity which is resonsible for operating, ensuring the maintenance of and, if necessary, developing the system in a given area, where applicable, its interconnections with other systems and for ensuring the long-term ability of the system to meet reasonable demands forelectricity.",,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,US,
253,,Thermal Storage,,,,Role,Logical,,Device,Cross Cutting,Process,System which stores energy for later use  by maintaining material either hotter or colder than ambient temperature.  Examples include making ice at night for use during the day and storing heat for later use generating electricity.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
254,,Thermostat,RM: Thermometer,,,Actor,Physical,,Device,Customer,Field Equipment,Potentially remotely controllable device which adjusts heating and cooling based on temperature and adjustable settings. Communicationg thermostats are part of BAS and/or DR programme.,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,US,
255,yes,Third Party,"RM: 3rd Party, 3rd Party, External Systems;IE: 3rd Party Services",,,Service,Conceptual,,Organization,Service Provider,,"Any entity that has authorization to provide services (such as managed energy services, demand/response) or an exchange information with customers and their systems. This pertains to Service Providers, including aggregators,  utilities use 3rd parties information systems for outsourced operations, weather and major events relevant to utility operations.",,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,US,
256,yes,Third Party Billing,3rd party adds no unique attributes,,,Service,Logical,,Application,Service Provider,,"3rd party service that manages customer billing information, sends billing statements and processes received payments. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
257,yes,Third Party Installation and Maintenance,3rd party adds no unique attributes,,,Service,Logical,,Application,Service Provider,,3rd party service that installs and maintains premise equipment.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
258,,Trade Responsible Party,,,,Role,Conceptual,,Role,Market,,"A party who can be brought to rights, legally and financially, for any imbalance between energy bought and consumed for all associated metering points.  Note: A power exchange without any privileged responsibilities acts as a Trade Responsible Party. ",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
259,,Trading,,,,Service,Conceptual,,Application,Market,,"Traders are participants in markets, which include aggregators for provision and consumption and curtailment, and other qualified entities. There are a number of companies whose primary business is the buying and selling of energy. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
260,,Transmission Actuator,,,,Actor,Physical,,Device,Transmission,,Actuator device used for control of devices in the transmission system.,,,,,,,X,,,,, ,,,,,,,,,,,,,,,,,,,,,US,
261,,Transmission Asset Management,CM: Transmission.Control,,,Service,Logical,,Application,Transmission,Operations,"Performed by roleactors that determine when equipment needs maintenance, calculate the life expectancy of the device,   its operation history and maintenance for operational and engineering decisions. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
262,,Transmission Battery Storage,CM: Storage ,,,Actor,Physical,,Device,Transmission,Power system,Battery Storage is typically located at a transmission switch-yard or substation. They provide dispatchable energy for  congestion and peak load relief. Typical recharged either with onsite Photovoltaic (PV) or trickle charging during off-demand intervals.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
263,,Transmission Capacity Allocator,,,,Role,Conceptual,,Role,Transmission,Operations,"Manages the allocation of transmission capacity for an allocated capacity area. For explicit auctions:
The Transmission Capacity Allocator manages, on behalf of the System Operators, the allocation of available transmission capacity for an Allocated capacity area. He offers the available transmission capacity to the market, allocates the available transmission capacity to individual Capacity Traders and calculates the billing amount of already allocated capacities to the Capacity Traders.
",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
264,,Transmission Control Devices,,,,Actor,Logical,,Device,Transmission,Process,"Actors that permit the Operations domain to manage the flow of power and reliability of the system.  Performed to maintain high levels of reliability and power quality. Examples include Flexible AC Transmission Systems (FACTS) devices, switches, capacitors, static synchronous compensators (STATCOM).",,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
265,,Transmission Engineering,,,,Service,Logical,,Organization,Transmission,Operations,"A technical function for planning or managing the design and upgrade of the transmission system (typically equipment designed for more than 345,000 volts between conductors). Functions include arranging data gathering, construction design, asset/equipment selection and placement.",,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
266,,Transmission IED,RM: IED,T-IED,T-IED,Actor,Logical,,Device,Transmission,Monitor & Control Services/roles,"Intelligent Electric Device (IED) is a communications-enabled controller to monitor and control automated devices in Transmission which communicates with   Supervisory Control and Data Acquisition (SCADA), as well as limited capabilities for automatic operations such as tripping circuit breakers if they sense voltage, current, or frequency anomalies. ",,,,,,,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
267,,Transmission Measurement,,,,Service,Logical,,Application,Transmission,Monitor & Control Services/roles,Performed by rolesactors that provide visibility into the flow of power and the condition of the systems in the field.An example would be the digital and analog measurements collected through the Supervisory Control and Data Acquisition (SCADA) system from a remote terminal unit (RTU) and provide to a grid control center in Operations. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
